Mon,Tue,Wed,Thu,Fri
6.0923664540907206e-5,-3.151114861150237e-5,5.232265726400206e-5,-1.0639161203975638e-4,1.0830680332504853e-4
1.5845863068104444e-4,4.372202762505501e-4,9.927179577740875e-5,1.0316013352375521e-5,4.535751202963513e-5
-8.307058737997765e-5,8.989208955583146e-5,1.0584610494108635e-4,3.652048020305007e-4,-4.6623570661206287e-4
8.03952728031438e-5,2.399297017605301e-4,2.1499456529232473e-4,4.822492556328326e-5,-6.57310130142059e-5
1.0248945170296931e-4,2.976208910503915e-4,1.9579160150028107e-4,3.254860351197332e-4,3.32223447275211e-4
1.3290419617961307e-4,3.167426377183968e-5,2.3161119220911107e-4,1.7801557714275777e-5,6.618729331955374e-4
-1.8464827717271586e-6,7.333652316507695e-5,8.446216564472975e-5,7.985607067260437e-5,2.792720680141491e-4
2.0095131768284712e-4,-1.7335654865516047e-4,3.0284860553984297e-5,3.402913899817664e-4,2.58356011116691e-4
1.3919296741895417e-4,2.6909672017102045e-4,2.2657941548216164e-4,2.245008648509338e-4,3.7194896883362995e-4
1.8183593878727262e-4,1.2114022270864861e-4,2.447945219358342e-4,1.721815502231866e-4,3.6154642233001744e-4
-2.1187950043830958e-5,2.567459717164156e-4,2.23493118796263e-4,1.6133403282824835e-5,2.6675749283843446e-4
8.607839222119001e-5,3.2968484527301777e-4,2.7842027245484464e-4,1.3937260036951245e-4,5.357797027626678e-4
-1.403315887336438e-5,1.025881869392077e-4,3.212268634562448e-4,1.0861677512639776e-4,8.058700811257129e-5
1.727002956308327e-4,4.213984954204382e-4,1.3744510848190178e-4,1.6513036252978358e-5,1.518121825617026e-5
6.223361471613672e-5,-2.0112297368758155e-4,3.6066832652203226e-5,8.433499724317347e-5,1.6407586167739758e-4
1.749244009222756e-4,-6.42267791885348e-5,7.853066657060608e-5,2.169953406411581e-4,1.0245840611860672e-5
1.9387725559471424e-4,5.66556691200029e-4,1.8701756907337706e-4,5.9575782451000325e-5,-2.7270067439699014e-4
1.4659895284264158e-4,1.7734645991427544e-4,3.693334618311423e-4,1.5274287925096165e-4,8.850939883692357e-5
1.4296448171368655e-5,-1.7441578025765442e-4,9.697397790575822e-5,1.8044272754264907e-4,-1.4032932194665436e-4
5.09543071417432e-5,2.965239619581053e-4,2.4614407353281385e-4,1.9374657426588833e-4,4.2234722139981303e-4
1.6980325875406055e-4,4.7248205281382155e-4,1.8653858939681863e-4,1.848832919105829e-4,2.3623694851825953e-4
1.5332187198099302e-4,1.3636420519442432e-4,2.6567285916938695e-4,9.148779513867715e-5,1.0197763054629996e-4
1.3915720093790384e-4,1.900623155361138e-4,2.2530496684050974e-4,1.6484107758887957e-4,6.399215328847276e-5
-7.577134057073973e-5,3.662388112170561e-4,3.197220083362036e-4,6.2750907633003485e-6,6.161910816516445e-4
2.272130383614066e-4,-1.0363380177821552e-5,1.2872206429053227e-4,-1.715792763179394e-5,-2.2667644603185244e-4
-2.3890301799490377e-5,1.6912005501950553e-4,7.840868230932918e-5,-1.585708975514797e-5,3.1323067347535123e-4
2.083114222217279e-5,1.7002664213829798e-4,3.2138654330406466e-4,9.924414284817963e-5,-1.5818408973870086e-4
1.682670800759305e-4,-6.821114416222052e-5,7.268047578955412e-5,5.604343379435708e-6,2.5884757246828034e-4
2.161912768166515e-4,1.7166800593308132e-4,4.169682201360709e-4,1.3737641364571117e-4,3.442385391651513e-4
2.0479102398605347e-5,1.9699590147684006e-4,1.5993632482197981e-4,5.6021966892579854e-5,3.5392011580065213e-4
1.021112031147581e-4,-9.900856964893894e-5,1.9369085979825592e-4,1.4726326914906977e-4,-2.0211186393120895e-4
1.4710346225814983e-4,-2.717270455518599e-4,2.958229699824708e-4,4.933773973171905e-5,3.9503069588844907e-4
1.3837035945804896e-4,2.5592036389586773e-4,3.4942499746335457e-4,1.1579354162520155e-4,2.1181248202937672e-4
